name,spider_type,spider,job_id,captcha_failures_count,captcha_requests_count,captcha_sucesses_count,download_exceptions_count,request_bytes,request_count,response_bytes,response_count,response_200_count,response_301_count,response_302_count,response_307_count,response_400_count,response_403_count,response_404_count,response_405_count,response_407_count,response_408_count,response_410_count,response_500_count,response_502_count,response_503_count,response_504_count,request_filtered_count,items_scraped_count,items_dropped_count,requests_dequeued_count,requests_enqueued_count,total_inserted,created,modified
fsbo-fizber-vt,FSBO,fizber,80e9f1bb-66a6-4a70-aa21-f464557988f5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-ccbfuneral,FUN,funeraltech,83d56424-8bc6-4032-8444-461da2ddf635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-amazonva,WEDS,amazonwed,861dd5f7-08b6-41e9-8dd3-c6c7db8ab031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-amazonwa,WEDS,amazonwed,865f7537-ae8b-4dc6-bf0e-c6ebb9c61730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-amazonmd,WEDS,amazonwed,87e0eff8-3f7c-45f0-9619-9015952d3e46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-amazonid,WEDS,amazonwed,888e86d2-9b11-44f5-8391-e805c9888945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-vivianfuneralhome,FUN,batesville,89ea71a0-0cf9-41b7-a58b-196cfa98398a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-amazonfl,WEDS,amazonwed,913811df-8acb-49d9-acf1-9127dcb5df4b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-funeralhomeinredlands,FUN,funeralone,93b180d4-6ac0-4d99-8626-9ca40061c5d9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-amazonnj,WEDS,amazonwed,9458965b-dd58-4378-a34c-47d2236a9209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
obit-tributesny-d,OBIT,tributes_alpha,9696cb09-8610-4c97-a181-df0a634fda8e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-alleeholmanhowefh,FUN,fun-frazer,97916fdf-c108-44c9-8c6e-fecb3e0dbd3a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wed-amazonks,WEDS,amazonwed,993409de-202d-4d6f-bf01-9b7a6208cba6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fun-rachubinskirogersfuneralhomes,FUN,funeralone,998f4233-cc12-4997-ba11-f83abc3dbac9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
